,count,mean,std,min,25%,50%,75%,max
Anon,411.0,239.1824817518248,2907.579805466357,0.0,0.0,0.0,0.0,40960.0
File,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,411.0,-298.978102189781,9167.44208104286,-176128.0,0.0,0.0,0.0,53248.0
Shmem,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,411.0,-69.76155717761557,1414.2854617779942,-28672.0,0.0,0.0,0.0,0.0
File_writeback,411.0,49.82968369829684,1010.2039012699956,0.0,0.0,0.0,0.0,20480.0
Swapcached,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,411.0,159.45498783454988,1532.277506163878,0.0,0.0,0.0,0.0,24576.0
Active_anon,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,411.0,72.21411192214111,2617.973469260448,-10480.0,0.0,0.0,0.0,27880.0
Slab_unreclaimable,411.0,630.5985401459855,27371.897140589695,-180048.0,-14520.0,0.0,16896.0,81840.0
Slab,411.0,702.8126520681266,28012.661137272273,-180048.0,-14784.0,0.0,16896.0,93576.0
Workingset_refault_anon,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,411.0,0.058394160583941604,0.7098583509439348,0.0,0.0,0.0,0.0,10.0
Pgmajfault,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
